      stars                                 name                                                                         homepage
88      196                      climate-indices                                     https://github.com/monocongo/climate_indices
462     195                              recogym                                      https://github.com/criteo-research/reco-gym
485     190                 log-anomaly-detector                                    https://github.com/AICoE/log-anomaly-detector
421     187                                becca                                                  http://github.com/brohrer/becca
542     184                           pycroscopy                               https://pycroscopy.github.io/pycroscopy/about.html
87      184                                xclim                                              https://github.com/Ouranosinc/xclim
620     184                           pycroscopy                               https://pycroscopy.github.io/pycroscopy/about.html
565     183                       Simba-UW-no-tf                                              https://github.com/sgoldenlab/simba
572     183                          Simba-UW-tf                                              https://github.com/sgoldenlab/simba
495     183                          Simba-UW-tf                                              https://github.com/sgoldenlab/simba
492     183                       Simba-UW-no-tf                                              https://github.com/sgoldenlab/simba
285     183                      Simba-UW-tf-dev                                              https://github.com/sgoldenlab/simba
387     182                               pacmap                                            https://github.com/YingfanWang/PaCMAP
271     182                               pacmap                                            https://github.com/YingfanWang/PaCMAP
95      179                            py3dtiles                                            https://gitlab.com/Oslandia/py3dtiles
187     176                              porespy                                                               http://porespy.org
267     175                             climpred                                          https://github.com/pangeo-data/climpred
127     175                              bootleg                                          https://github.com/HazyResearch/bootleg
323     175                             climpred                                          https://github.com/pangeo-data/climpred
224     175                              bootleg                                          https://github.com/HazyResearch/bootleg
37      170                         qiskit-ignis                                           https://github.com/Qiskit/qiskit-ignis
107     169                           fightchurn                                           https://github.com/carl24k/fight-churn
213     162                               tuneta                                           https://github.com/jmrichardson/tuneta
150     162                               tuneta                                           https://github.com/jmrichardson/tuneta
112     160                              climada                                https://github.com/CLIMADA-project/climada_python
916     157                                klaam                                                   https://github.com/ARBML/klaam
524     156                           neuroptica                                         https://github.com/fancompute/neuroptica
581     151                                pygbm                                                https://github.com/ogrisel/pygbm/
602     151                                pygbm                                                https://github.com/ogrisel/pygbm/
100     151                               pydens                                     https://github.com/analysiscenter/pydens.git
86      151                               pydens                                     https://github.com/analysiscenter/pydens.git
474     147                              numbagg                                               https://github.com/numbagg/numbagg
122     146                               pyxtal                                               https://github.com/qzhu2017/PyXtal
33      145                                 esda                                                    https://github.com/pysal/esda
369     144                                radis                                                   https://github.com/radis/radis
242     143                             img-term                                             https://github.com/jonnoFTW/img_term
275     142                             cellrank                                             https://github.com/theislab/cellrank
236     137                            harmonica                                            https://github.com/fatiando/harmonica
286     133                                tcapy                                                https://github.com/cuemacro/tcapy
336     133                                tcapy                                                https://github.com/cuemacro/tcapy
168     132                               mygrad                                                  https://github.com/rsokl/MyGrad
192     130                                hyppo                                               https://github.com/neurodata/hyppo
215     130                                hyppo                                               https://github.com/neurodata/hyppo
333     128                         egnn-pytorch                                       https://github.com/lucidrains/egnn-pytorch
199     125                                fbpic                                                    http://github.com/fbpic/fbpic
282     121                            audiomate                                                https://github.com/ynop/audiomate
193     121                             autolens                                          https://github.com/Jammy2211/PyAutoLens
372     121                            audiomate                                                https://github.com/ynop/audiomate
591     121                               NiMARE                                             https://github.com/neurostuff/NiMARE
613     121                               NiMARE                                             https://github.com/neurostuff/NiMARE
446     119                             py4DSTEM                                            https://github.com/py4dstem/py4DSTEM/
456     117                             stingray                                                    https://docs.stingray.science
240     113                 kapture-localization                                   https://github.com/naver/kapture-localization/
366     113                 kapture-localization                                   https://github.com/naver/kapture-localization/
135     113                             cytoflow                                             https://github.com/cytoflow/cytoflow
18      112                               loompy                                         https://github.com/linnarsson-lab/loompy
105     112                               pypeit                                                 https://github.com/pypeit/PypeIt
65      112                               pypeit                                                 https://github.com/pypeit/PypeIt
482     111                             pynapple                                          https://github.com/PeyracheLab/pynapple
24      110                               pymapd                                                https://github.com/omnisci/pymapd
27      109                        interpolation                                                                             None
229     109                               pynets                                                   https://github.com/dPys/pynets
130     108                          chainladder                                     https://github.com/casact/chainladder-python
91      106                            miepython                                      https://github.com/scottprahl/miepython.git
827     106                            rank-eval                                              https://github.com/AmenRa/rank_eval
662     106                            rank-eval                                              https://github.com/AmenRa/rank_eval
34      106                      boost-histogram                                    https://github.com/scikit-hep/boost-histogram
921     106                             paddlers                                         https://github.com/PaddleCV-SIG/PaddleRS
360     104                               galois                                             https://mhostetter.github.io/galois/
233     104                               galois                                             https://mhostetter.github.io/galois/
244     103                                pyxem                                                   https://github.com/pyxem/pyxem
373     103                                pyxem                                                   https://github.com/pyxem/pyxem
316     102                                 tsod                                                      https://github.com/DHI/tsod
94      100                                wotan                                                  https://github.com/hippke/wotan
114     100                                 dcor                                                                                 
116     100                                wotan                                                  https://github.com/hippke/wotan
159     100                        PteraSoftware                                        https://github.com/camurban/pterasoftware
67      100                                 dcor                                                                                 
209     100                      orbit-predictor                                    https://github.com/satellogic/orbit-predictor
63       99                              pftools                    https://github.com/parflow/parflow/tree/master/pftools/python
380      97                              libceed                                                   https://libceed.readthedocs.io
155      96                              pecanpy                                           https://github.com/krishnanlab/PecanPy
593      93           fnal-column-analysis-tools                         https://github.com/CoffeaTeam/fnal-column-analysis-tools
616      93           fnal-column-analysis-tools                         https://github.com/CoffeaTeam/fnal-column-analysis-tools
166      93                               coffea                                             https://github.com/CoffeaTeam/coffea
210      92                                pyodi                                                https://github.com/Gradiant/pyodi
46       92                             biosteam                             https://github.com/BioSTEAMDevelopmentGroup/biosteam
129      92                                pyodi                                                https://github.com/Gradiant/pyodi
536      89                              copulae                      https://copulae.readthedocs.io/en/stable/copulae/index.html
632      89                              copulae                      https://copulae.readthedocs.io/en/stable/copulae/index.html
164      88                       LoopStructural                                         https://loop3d.github.io/LoopStructural/
638      88                                  av2                                                https://github.com/argoai/av2-api
605      87                          py-entangle                                           https://github.com/radiantone/entangle
515      87                          py-entangle                                           https://github.com/radiantone/entangle
149      85                             spladder                                            https://github.com/ratschlab/spladder
395      85                            meanderpy                                          https://github.com/zsylvester/meanderpy
251      85                           pyelastica                                                    https://www.cosseratrods.org/
377      85                           pyelastica                                                    https://www.cosseratrods.org/
196      84                               mikeio                                                    https://github.com/DHI/mikeio
394      84                             libertem                                             https://libertem.github.io/LiberTEM/
400      84                             libertem                                             https://libertem.github.io/LiberTEM/
564      83                                 howl                                                https://github.com/castorini/howl
607      82                                sgkit                                               https://github.com/pystatgen/sgkit
491      82                                sgkit                                               https://github.com/pystatgen/sgkit
189      82                                 skan                                                       https://jni.github.io/skan
398      80                               CSIKit                                                   https://github.com/Gi-z/CSIKit
261      80                               CSIKit                                                   https://github.com/Gi-z/CSIKit
143      76                               SpaGCN                                            https://github.com/jianhuupenn/SpaGCN
222      76                               SpaGCN                                            https://github.com/jianhuupenn/SpaGCN
71       75                              matchms                                               https://github.com/matchms/matchms
266      74                            PyTransit                                             https://github.com/hpparvi/PyTransit
188      73                            sdmetrics                                             https://github.com/sdv-dev/SDMetrics
206      73                            sdmetrics                                             https://github.com/sdv-dev/SDMetrics
397      73                        densmap-learn                                                  http://github.com/hhcho/densvis
161      73                                amset                                        https://github.com/hackingmaterials/amset
98       72                            thewalrus                                            https://github.com/XanaduAI/thewalrus
102      71                     pythermalcomfort                 https://github.com/CenterForTheBuiltEnvironment/pythermalcomfort
74       71                     pythermalcomfort                 https://github.com/CenterForTheBuiltEnvironment/pythermalcomfort
521      65                           mlforecast                                  https://github.com/Nixtla/mlforecast/tree/main/
615      65                           mlforecast                                  https://github.com/Nixtla/mlforecast/tree/main/
558      63                             pyphysim                                              https://github.com/darcamo/pyphysim
294      62                        pulse2percept                                   https://github.com/pulse2percept/pulse2percept
719      62                         DeepSpectrum                                     https://github.com/DeepSpectrum/DeepSpectrum
338      62                        pulse2percept                                   https://github.com/pulse2percept/pulse2percept
365      61                         fastnode2vec                                     https://github.com/louisabraham/fastnode2vec
123      61                                  sbp                                              https://github.com/swift-nav/libsbp
306      57                                 mbtr                                         https://github.com/supsi-dacd-isaac/mbtr
356      56                         wannierberri                                                        https://wannier-berri.org
126      56                              threeML                                               https://github.com/threeml/threeML
277      56                         wannierberri                                                        https://wannier-berri.org
519      55                             chemview                                       https://github.com/gabrielelanaro/chemview
78       55                              empymod                                                                https://emsig.xyz
672      54                              prosail                                             http://github.com/jgomezdans/prosail
435      52                            rastermap                                           https://github.com/MouseLand/rastermap
427      51                                prysm                                                      http://prysm.readthedocs.io
557      50                            hydrodata                                                          https://docs.hyriver.io
287      48                             compecon                                          http://randall-romero.com/code/compecon
561      48                       opensoundscape                                        https://github.com/jkitzes/opensoundscape
362      48                             compecon                                          http://randall-romero.com/code/compecon
96       48                              ctapipe                                       https://github.com/cta-observatory/ctapipe
283      48                              cogent3                                                              https://cogent3.org
399      48                           numbalsoda                                      https://github.com/Nicholaswogan/numbalsoda
225      47                              BeatNet                                               https://github.com/mjhydri/BeatNet
146      47                            pegasuspy                                             https://github.com/lilab-bcb/pegasus
145      47                              poppunk                                              https://github.com/johnlees/PopPUNK
374      47                                pygmi                                             http://patrick-cole.github.io/pygmi/
534      46                               dscarf                                         https://github.com/parashardhapola/scarf
300      46                          dscarf-test                                         https://github.com/parashardhapola/scarf
512      46                        scarf-toolkit                                         https://github.com/parashardhapola/scarf
674      46                             EmbedSeg                                              https://github.com/juglab/EmbedSeg/
327      46                            rapidtide                                         https://github.com/bbfrederick/rapidtide
833      46                             EmbedSeg                                              https://github.com/juglab/EmbedSeg/
610      46                               dscarf                                         https://github.com/parashardhapola/scarf
99       46                  spherical-functions                                     https://github.com/moble/spherical_functions
292      46                                disba                                              https://github.com/keurfonluu/disba
109      46                  spherical-functions                                     https://github.com/moble/spherical_functions
128      46                                scarf                                         https://github.com/parashardhapola/scarf
793      46                             EmbedSeg                                              https://github.com/juglab/EmbedSeg/
612      46                        scarf-toolkit                                         https://github.com/parashardhapola/scarf
